n,epsilon,DP_MSE_mean,DP_MSE_se,MS_MSE_mean,MS_MSE_se,DP_time_mean,DP_time_se,MS_time_mean,MS_time_se
700,0.1,0.4598366867578118,0.05185197500326679,0.008512244106196745,3.9797285930371094e-19,0.002905498000473017,2.898601382561815e-05,0.09848409365022234,0.00014007736484106112
700,0.2,0.3367939183936279,0.1097927212828071,0.008512244106196745,3.9797285930371094e-19,0.002868610299810825,1.4704249087482037e-05,0.09848409365022234,0.00014007736484106112
700,0.5,0.08351961396501932,0.00656116136834984,0.008512244106196745,3.9797285930371094e-19,0.002868429049703991,8.226708304982158e-06,0.09848409365022234,0.00014007736484106112
700,1,0.06332083603431495,0.01726788740258466,0.008512244106196745,3.9797285930371094e-19,0.002861637549904117,7.28837635341661e-06,0.09848409365022234,0.00014007736484106112
700,5,0.05378454557557729,0.006940900062920609,0.008512244106196745,3.9797285930371094e-19,0.0028642479503105276,7.35789115701302e-06,0.09848409365022234,0.00014007736484106112
1000,0.1,0.2868114859307917,0.03903085637440696,0.0049205348988787855,1.9898642965185547e-19,0.0037591166499623798,7.574455134768363e-05,0.1776261250497555,0.0007238034051945245
1000,0.2,0.14240443362970637,0.019614729884080744,0.0049205348988787855,1.9898642965185547e-19,0.0036972897492887568,2.7114547397193232e-05,0.1776261250497555,0.0007238034051945245
1000,0.5,0.052967433922486526,0.013909504845803385,0.0049205348988787855,1.9898642965185547e-19,0.003560423001181334,2.3841413810263465e-05,0.1776261250497555,0.0007238034051945245
1000,1,0.041715865626808915,0.005720803488513298,0.0049205348988787855,1.9898642965185547e-19,0.0035970771001302636,8.31966081655078e-05,0.1776261250497555,0.0007238034051945245
1000,5,0.04348067116584263,0.004582315497327497,0.0049205348988787855,1.9898642965185547e-19,0.004428481200193346,0.0002006497893183803,0.1776261250497555,0.0007238034051945245
2000,0.1,0.13884926055128705,0.014870482829580577,0.00421371411561761,1.9898642965185547e-19,0.006083552049676655,3.2991035314178797e-05,0.7034746832503516,0.002729094656243216
2000,0.2,0.049436121950761275,0.004629503329749255,0.00421371411561761,1.9898642965185547e-19,0.0060531581990289855,6.865193737154262e-06,0.7034746832503516,0.002729094656243216
2000,0.5,0.02880578537517195,0.0044448558933404755,0.00421371411561761,1.9898642965185547e-19,0.006048735299918917,1.0019746716858274e-05,0.7034746832503516,0.002729094656243216
2000,1,0.022011566127819515,0.0018409038935411305,0.00421371411561761,1.9898642965185547e-19,0.0060328812000079775,4.428495093127651e-06,0.7034746832503516,0.002729094656243216
2000,5,0.020590237805181405,0.0022552551704543345,0.00421371411561761,1.9898642965185547e-19,0.006030493549951643,5.842349674343697e-06,0.7034746832503516,0.002729094656243216
5000,0.1,0.03793250553793278,0.004805145745574954,0.0019435954396162711,4.974660741296387e-20,0.01629385404939967,0.00018841818419635956,4.746843443750367,0.016503609622182863
5000,0.2,0.01799902921557518,0.0022604354199841233,0.0019435954396162711,4.974660741296387e-20,0.01597288339962688,9.81791746145849e-06,4.746843443750367,0.016503609622182863
5000,0.5,0.011676852603030351,0.0009936298056658658,0.0019435954396162711,4.974660741296387e-20,0.015920141649803553,1.0327525206436111e-05,4.746843443750367,0.016503609622182863
5000,1,0.01071028217120696,0.0015219462288812572,0.0019435954396162711,4.974660741296387e-20,0.01591205215008813,1.1202133482459254e-05,4.746843443750367,0.016503609622182863
5000,5,0.009021570174117163,0.0015076904507050084,0.0019435954396162711,4.974660741296387e-20,0.015904893749757322,1.4062408421500255e-05,4.746843443750367,0.016503609622182863
