Epsilon,Algorithm,ARI,NMI,MSE,Std_ARI,Std_NMI,Std_MSE,Mean_Runtime(s),Std_Runtime(s),dpgrams_c_clip_multiplier,dpgrams_c_kappa_init,dpgrams_c_init_epsilon_frac,dpgrams_c_c_rho,dpgrams_c_candidate_points,dpgrams_c_dap_init_strategy,pca_dim,pca_dim_rule
0.25,DP-GRAMS-C,0.3542113971862665,0.5014785672497777,29.668159909097312,0.03314520310625963,0.028136710483833018,16.32859077636729,0.4567634344100952,0.1581966842590668,1,3,0.3,2.0,None,grid,3,broken_stick_dp_capped
0.25,DP-KMeans,0.21518450607135242,0.3980372907248009,35.86325709984886,0.041257765555195086,0.040200760394541214,7.791885378705976,0.02359851598739624,0.0012596056551368536,,,,,,,3,broken_stick_dp_capped
0.5,DP-GRAMS-C,0.4076508292254273,0.5310157596715434,19.91016119082752,0.042165709960468895,0.030673483343004068,12.647656425365588,0.3856430411338806,0.08865041676216587,1,3,0.3,2.0,None,grid,3,broken_stick_dp_capped
0.5,DP-KMeans,0.22513476227035428,0.3991051478563568,29.428710569173596,0.03184966514237525,0.03819700750873363,4.300290500687532,0.023385751247406005,0.0011404265217585367,,,,,,,3,broken_stick_dp_capped
1.0,DP-GRAMS-C,0.3725204199834926,0.4859799784470492,12.284355066591104,0.0649885708988198,0.04361498975454072,4.148051706883466,0.36875864267349245,0.06710993065105321,1,3,0.3,2.0,None,grid,3,broken_stick_dp_capped
1.0,DP-KMeans,0.27393023794505295,0.43085085783488564,24.318431270669475,0.043869128196202284,0.036119926529457703,6.806439941896009,0.022124850749969484,0.0011629085873919402,,,,,,,3,broken_stick_dp_capped
2.5,DP-GRAMS-C,0.2926200689186679,0.43002043377281274,13.414705996229149,0.05356075048819234,0.042606366987649115,1.7953673950093179,0.3388498306274414,0.013026406983438418,1,3,0.3,2.0,None,grid,3,broken_stick_dp_capped
2.5,DP-KMeans,0.3138046040654222,0.4693444069088886,21.09855222525006,0.04226893758158239,0.027838416838338365,5.59957768606554,0.022271180152893068,0.0008340048916013204,,,,,,,3,broken_stick_dp_capped
5.0,DP-GRAMS-C,0.2738983687065892,0.41196183044534573,14.450899723729867,0.05247712838157099,0.04166133891064824,1.6183586200688886,0.3376251935958862,0.03142721732495011,1,3,0.3,2.0,None,grid,3,broken_stick_dp_capped
5.0,DP-KMeans,0.32665505936354666,0.4776940005055491,18.852194479419964,0.03882483165708054,0.03336363555408112,5.165128828275977,0.021372246742248534,0.0010773459212782685,,,,,,,3,broken_stick_dp_capped
