Epsilon,Algorithm,ARI,NMI,MSE,Std_ARI,Std_NMI,Std_MSE,Mean_Runtime(s),Std_Runtime(s),dpgrams_c_clip_multiplier,dpgrams_c_kappa_init,dpgrams_c_init_epsilon_frac,dpgrams_c_c_rho,dpgrams_c_candidate_points,dpgrams_c_dap_init_strategy,pca_dim,pca_dim_rule,pca_whiten
0.5,DP-GRAMS-C,0.5393292505798132,0.6208510288089725,3954.2815958289284,0.06638956333908136,0.03807627682878701,2472.4085066842235,0.009683310985565186,0.00028823139669050197,0.1,3.0,0.1,2.0,None,grid,3,broken_stick_dp_capped,True
0.5,DP-KMeans,0.2743335722611019,0.40472075153179954,8486.290823645017,0.11026576876709034,0.0939428338579644,2103.828770726069,0.011529982089996338,0.0003613918547498503,,,,,,,3,broken_stick_dp_capped,True
1.0,DP-GRAMS-C,0.5684562155164995,0.6464713948534909,3334.348883706246,0.040993003617317156,0.020318070471857932,1234.2546174956797,0.009677839279174805,0.0002103879613473855,0.1,3.0,0.1,2.0,None,grid,3,broken_stick_dp_capped,True
1.0,DP-KMeans,0.3580002388846332,0.4723236652096096,6680.765715063557,0.11531520114640045,0.09792771874055174,2428.8393672314687,0.01152552366256714,0.0003065537869140642,,,,,,,3,broken_stick_dp_capped,True
2.5,DP-GRAMS-C,0.5714468183552449,0.6426162296812331,3460.4965073506814,0.07219007556289717,0.029274477301179016,1452.6492347447158,0.009674715995788574,0.00015070748477441853,0.1,3.0,0.1,2.0,None,grid,3,broken_stick_dp_capped,True
2.5,DP-KMeans,0.4473162612599876,0.5585136263074348,4547.730211305692,0.08983275186014943,0.06538102901183669,1355.853692945449,0.011277127265930175,0.0003445668737878589,,,,,,,3,broken_stick_dp_capped,True
5.0,DP-GRAMS-C,0.5961774336516583,0.6573686470232993,2404.077716487626,0.04788306881268428,0.01974620065971655,847.2179556392285,0.009687662124633789,0.00012606958231007755,0.1,3.0,0.1,2.0,None,grid,3,broken_stick_dp_capped,True
5.0,DP-KMeans,0.4711436531033394,0.5773916257105498,3766.6587624505205,0.0502186959096927,0.04547093275855077,1180.387116401467,0.011202669143676758,0.00031574109513227025,,,,,,,3,broken_stick_dp_capped,True
10,DP-GRAMS-C,0.592475573158745,0.6553474078300952,2690.350467733157,0.046223998357447865,0.017584150159850976,1167.3718669779346,0.00964338779449463,0.0001305558456647678,0.1,3.0,0.1,2.0,None,grid,3,broken_stick_dp_capped,True
10,DP-KMeans,0.5321073228189916,0.6176004667131348,2957.3075283944904,0.03674511837262381,0.021510750060130528,576.0441360861014,0.020713424682617186,0.0003253443597114492,,,,,,,3,broken_stick_dp_capped,True
