n_samples,epsilon,DP_mse_mean_truth,DP_mse_se_truth,PMS_mse_mean_truth,PMS_mse_se_truth,PMS_runtime_mean,PMS_runtime_std,DP_runtime_mean,DP_runtime_std
300,0.1,0.3707095094120093,0.028981030239320558,0.0005923455371834986,0.0,0.013532214472070337,0.0037939068537631263,0.050989477150142196,0.03226517826640023
300,0.2,0.0793873751920833,0.014547548947064759,0.0005923455371834986,0.0,0.012970883445814253,0.0002586247623073243,0.031039068871177734,0.008186676263496178
300,0.5,0.00884672279003399,0.0013683124718393896,0.0005923455371834986,0.0,0.012721856241114438,0.00015164705326539164,0.02832883531227708,0.007141582528278809
300,1.0,0.005443386512876057,0.0008188972929370198,0.0005923455371834986,0.0,0.012767251953482628,0.0002399220242129639,0.024026514636352657,0.0050974505108467155
600,0.1,0.10561212356704537,0.007776372776625297,0.00021594817546333206,6.2183259266204834e-21,0.03575138964224607,0.00036292843790337723,0.03184983753599226,0.007004416314233967
600,0.2,0.01945602758663492,0.00320007857930849,0.00021594817546333206,6.2183259266204834e-21,0.03571127506438643,0.0002889708179534103,0.03037478937767446,0.006911807989075107
600,0.5,0.004370524747982267,0.0006793583042724311,0.00021594817546333206,6.2183259266204834e-21,0.03559571865480393,0.00015670918165003748,0.03239447709638625,0.004529433517851982
600,1.0,0.0012768761257488975,7.893505921699169e-05,0.00021594817546333206,6.2183259266204834e-21,0.03595190211199224,0.0006411017822627237,0.03557346053421497,0.007654637030174215
1200,0.1,0.04074477166606605,0.006451081170063782,0.0008187804198106814,2.4873303706481934e-20,0.10350248534232379,0.0006183824879103722,0.04763985832687467,0.00678778830614888
1200,0.2,0.007423326659826817,0.000842949869173654,0.0008187804198106814,2.4873303706481934e-20,0.10365074162837118,0.0008518174136766196,0.045631800009869036,0.00753224780391047
1200,0.5,0.00260163413159099,0.000555038656129522,0.0008187804198106814,2.4873303706481934e-20,0.10343086058273912,0.00040675351907857454,0.045570766646415,0.007872062965897058
1200,1.0,0.0007497471688671541,7.041448481568138e-05,0.0008187804198106814,2.4873303706481934e-20,0.10380239996593446,0.0004675529439793803,0.04751994584221393,0.007042236106848711
2100,0.1,0.01363176728638665,0.001966512293581645,0.0007872377137359496,2.4873303706481934e-20,0.24392252492252736,0.0009844674240839894,0.05647049357648939,0.00720430904819441
2100,0.2,0.004573289659090165,0.0005980997085069262,0.0007872377137359496,2.4873303706481934e-20,0.2463257667142898,0.0038094752280898106,0.06535771463532,0.014579913482640828
2100,0.5,0.002289328245266015,0.0005839275085674091,0.0007872377137359496,2.4873303706481934e-20,0.24606141687836497,0.0038800057462933172,0.05928545207716525,0.01009820067464045
2100,1.0,0.0005235786646430738,3.1506053901115064e-05,0.0007872377137359496,2.4873303706481934e-20,0.24386439800728113,0.0011763753752514405,0.05805730649735778,0.009169420420043164
