n_samples,epsilon,DP_mse_mean,DP_mse_se,PMS_mse_mean,PMS_mse_se,PMS_runtime_mean,PMS_runtime_std,DP_runtime_mean,DP_runtime_std
200,0.1,0.615577055499846,0.06701828823136599,0.0312847979664032,0.0013918507706397719,0.016957429004833102,0.005668108988776765,0.023885866696946322,0.008453951443482056
200,0.2,0.1837470080119458,0.013511814062464723,0.03046432173551683,0.001728575168884634,0.016600539605133236,0.006637516835989864,0.02822673334740102,0.010683737921469757
200,0.5,0.068859756936267,0.004442805932085773,0.03255360228517603,0.0012719974941340633,0.01451709372922778,0.004992866662259736,0.020651643723249437,0.004959539023295851
200,1.0,0.05843573624706318,0.003187923611394614,0.03385311135519872,0.0018473200812940955,0.013049348024651408,0.0046179889758262505,0.020954581280238926,0.006156164279689128
500,0.1,0.17062718709008284,0.006546452679422733,0.02154207230304139,0.0005482784062971905,0.04294280833564699,0.007609488791021664,0.03169032917357981,0.007884946841538398
500,0.2,0.07400394351765978,0.005152221311211457,0.021686002804023156,0.0003914912321574187,0.04848300006706267,0.008547731211963592,0.0352690958417952,0.008160532478727582
500,0.5,0.03387956929759761,0.0013427086757714785,0.02056296735118974,0.0003985155356760897,0.047073633247055116,0.004831175459765381,0.03431482093874365,0.00849568810809437
500,1.0,0.03031105557621801,0.0013906578409900643,0.021708230526761057,0.000555628648011304,0.04332245222758502,0.006564392701839098,0.031978129013441506,0.007408452290137132
1000,0.1,0.07864518766319932,0.006587592781023375,0.018447709358765683,0.0002151053116281904,0.12157888950314373,0.019021311792413308,0.03870660422835499,0.007514998142827997
1000,0.2,0.037720252401681774,0.0015548836728245849,0.01815465971747588,0.00024387248075817325,0.11446357297245413,0.00824831102007827,0.03658128131646663,0.007554083483654994
1000,0.5,0.02570217790147401,0.0010811902536050839,0.018311206941197103,0.00017670137592004856,0.1203099271748215,0.010727600364172987,0.040195962344296274,0.010917200975109538
1000,1.0,0.024573970806685254,0.0006279507431350087,0.01795414290108107,0.00021920255004519572,0.11697947713546455,0.011417559154966807,0.038582587614655495,0.009420356478320223
2000,0.1,0.04354952537047617,0.0022800273259614527,0.017083869408372542,0.00018342719902029,0.3660189833724871,0.04713846071342758,0.0545541356317699,0.011579990542201438
2000,0.2,0.026587968798725437,0.0007912145704855344,0.016584522925670843,0.00015824020018697057,0.36585322306491436,0.04522943265435708,0.054592608311213556,0.011825837674154576
2000,0.5,0.02209338874390068,0.00048260395898196487,0.016641156101462294,0.00017705970293009692,0.3725833855103701,0.051813930955664445,0.05451028763782233,0.010627937892871678
2000,1.0,0.022495511877105454,0.0005150079359006583,0.016693831970931102,0.00016432758771066288,0.3630534022115171,0.04140783166228399,0.05284125634934753,0.009341661266646026
